cap,nom_cap,art,texto
Capitulo 1,bases de la institucionalidad,artículo 1,Las personas nacen libres e iguales en dignidad y derechos.
Capitulo 1,bases de la institucionalidad,artículo 1,La familia es el núcleo fundamental de la sociedad.
Capitulo 1,bases de la institucionalidad,artículo 1,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.
Capitulo 1,bases de la institucionalidad,artículo 1,"El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece."
Capitulo 1,bases de la institucionalidad,artículo 1,"Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional."
Capitulo 1,bases de la institucionalidad,artículo 2,"Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional."
Capitulo 1,bases de la institucionalidad,artículo 3,El Estado de Chile es unitario.
Capitulo 1,bases de la institucionalidad,artículo 3,"La administración del Estado será funcional y territorialmente descentralizada, o desconcentrada en su caso, de conformidad a la ley."
Capitulo 1,bases de la institucionalidad,artículo 3,"Los órganos del Estado promoverán el fortalecimiento de la regionalización del país y el desarrollo equitativo y solidario entre las regiones, provincias y comunas del territorio nacional."
Capitulo 1,bases de la institucionalidad,artículo 4,Chile es una república democrática.
Capitulo 1,bases de la institucionalidad,artículo 5,"La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio."
Capitulo 1,bases de la institucionalidad,artículo 5,"El ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana. Es deber de los órganos del Estado respetar y promover tales derechos, garantizados por esta Constitución, así como por los tratados internacionales ratificados por Chile y que se encuentren vigentes."
